"SampleName","mean"
"BMW_121",-32.84
"BMW_123",-28.555
"BMW_125",-27.615
"BMW_126",-29.455
"BMW_130",-32.9125
"BMW_131",-30.035
"BMW_133",-29.525
"BMW_135",-33.445
"BMW_136",-28.02
"BMW_138",-29.495
"BMW_140",-28.485
"BMW_141",-33.9975
"BMW_143",-30.635
"BMW_145",-29.145
"BMW_146",-28.685
"BMW_148",-34.005
"BMW_150",-29.65
"BMW_151",-29.225
"BMW_153",-33.785
"BMW_155",-30.675
"BMW_156",-33.21
"BMW_158",-33.745
"BMW_160",-30.27
"BMW_161",-28.9775
"BMW_163",-33.365
"BMW_165",-33.345
"BMW_166",-33.78
"BMW_168",-30.635
"BMW_170",-29.315
"BMW_171",-30.525
"BMW_173",-33.455
"BMW_175",-29.93
"BMW_176",-32.205
"BMW_178",-32.49
"BMW_180",-29.875
"BMW_181",-33.3525
"BMW_183",-32.65
"BMW_185",-30.21
"BMW_186",-29.8
"BMW_188",-29.9
"BMW_190",-33.345
"BMW_191",-29.4
"BMW_193",-28.805
"BMW_195",-31.86
"BMW_196",-29.72
"BMW_198",-30.925
"BMW_200",-28.695
"BMW_201",-33.595
"BMW_203",-31.4925
"BMW_205",-28.945
"BMW_206",-28.505
"BMW_208",-33.17
"BMW_210",-33.41
"BMW_211",-33.59
"BMW_213",-33.875
"BMW_215",-33.91
"BMW_216",-29
"BMW_218",-29.235
"BMW_221",-32.785
"BMW_225",-28.965
"BMW_226",-33.135
"BMW_228",-33.7
"BMW_230",-33.615
"BMW_231",-29.175
"BMW_233",-30.14
"BMW_236",-33.505
"BMW_238",-28.825
"BMW_240",-28.32
"BMW_241",-28.6575
"BMW_243",-28.725
"BMW_246",-28.765
"BMW_248",-34.395
"BMW_250",-30.235
"BMW_251",-34.34
"BMW_253",-33.1975
"BMW_255",-33.015
"BMW_256",-33.4
"BMW_258",-33.535
"BMW_260",-28.42
"BMW_261",-32.975
"BMW_263",-34.165
"BMW_265",-29.32
"BMW_266",-33.21
"BMW_268",-33.7425
"BMW_270",-28.8975
"BMW_271",-32.785
"BMW_273",-30.2
"BMW_275",-29.035
"BMW_276",-29.575
"BMW_278",-33.705
"BMW_280",-32.525
"BMW_281",-28
"BMW_283",-33.36
"BMW_285",-32.49
"BMW_286",-30.035
"BMW_288",-32.935
"BMW_290",-32.74
"BMW_291",-34.3525
"BMW_293",-33.32
"BMW_295",-30.25
"BMW_296",-32.5675
"BMW_298",-32.985
"BMW_300",-29.765
"BMW_301",-34.215
"BMW_303",-27.25
"BMW_305",-33.275
"BMW_306",-27.955
"BMW_308",-29.58
"BMW_310",-33.045
"BMW_313",-27.96
"BMW_315",-33.5
